
2025/04/02 (22:34:31) | ===> btop++ v.1.4.0
2025/04/02 (22:34:31) | WARNING: Invalid box name in config value presets!

2025/04/02 (22:35:27) | ===> btop++ v.1.4.0
2025/04/02 (22:35:27) | WARNING: Invalid box name in config value presets!

2025/04/02 (22:35:41) | ===> btop++ v.1.4.0
2025/04/02 (22:35:41) | WARNING: Invalid box name in config value presets!

2025/04/02 (22:36:05) | ===> btop++ v.1.4.0
2025/04/02 (22:36:05) | WARNING: Invalid box name in config value presets!

2025/04/02 (22:40:03) | ===> btop++ v.1.4.0
2025/04/02 (22:40:03) | WARNING: Invalid value for show_gpu_info: off
